sp #,Species,Rep,dry mass,Notes,,,,,,,,,,,,,
40,Linanthus dichotomus,E,2.282,,,,,,,,,,,,,,
41,Lolium multiflorum,A,21.119,,,,,,,,,,,,,,
41,Lolium multiflorum,B,25.166,,,,,,,,,,,,,,
41,Lolium multiflorum,C,23.625,,,,,,,,,,,,,,
41,Lolium multiflorum,D,21.552,,,,,,,,,,,,,,
41,Lolium multiflorum,E,22.015,,,,,,,,,,,,,,
42,Lomatium marginatum,A,42.366,,,,,,,,,,,,,,
42,Lomatium marginatum,B,69.802,,,,,,,,,,,,,,
42,Lomatium marginatum,C,75.259,,,,,,,,,,,,,,
42,Lomatium marginatum,D,64.086,,,,,,,,,,,,,,
42,Lomatium marginatum,E,69.472,,,,,,,,,,,,,,
43,Lotus humistratus,A,29.251,,,,,,,,,,,,,,
43,Lotus humistratus,B,31.739,,,,,,,,,,,,,,
43,Lotus humistratus,C,29.229,,,,,,,,,,,,,,
43,Lotus humistratus,D,30.869,,,,,,,,,,,,,,
43,Lotus humistratus,E,31.75,,,,,,,,,,,,,,
44,Medicago polymorpha,A,35.078,,,,,,,,,,,,,,
44,Medicago polymorpha,B,26.753,,,,,,,,,,,,,,
44,Medicago polymorpha,C,31.92,,,,,,,,,,,,,,
44,Medicago polymorpha,D,33.768,,,,,,,,,,,,,,
44,Medicago polymorpha,E,34.132,,,,,,,,,,,,,,
45,Micropus californicus,A,6.647,,,,,,,,,,,,,,
45,Micropus californicus,B,7.826,,,,,,,,,,,,,,
45,Micropus californicus,C,8.655,,,,,,,,,,,,,,
45,Micropus californicus,D,8.335,,,,,,,,,,,,,,
45,Micropus californicus,E,6.999,,,,,,,,,,,,,,
46,Microseris douglasii,A,18.037,,,,,,,,,,,,,,
46,Microseris douglasii,B,18.754,,,,,,,,,,,,,,
46,Microseris douglasii,C,17.277,,,,,,,,,,,,,,
46,Microseris douglasii,D,17.43,,,,,,,,,,,,,,
46,Microseris douglasii,E,16.626,,,,,,,,,,,,,,
47,Mimulus douglassi,A,14.659,has 5 seeds,,,,,,,,,,,,,
47,Mimulus douglassi,B,18.903,,,,,,,,,,,,,,
47,Mimulus douglassi,C,14.948,,,,,,,,,,,,,,
47,Mimulus douglassi,D,16.498,,,,,,,,,,,,,,
47,Mimulus douglassi,E,,missing 9/28,,,,,,,,,,,,,
48,Mimulus guttatus,A,0.731,has 25 seeds,,,,,,,,,,,,,
48,Mimulus guttatus,B,0.642,,,,,,,,,,,,,,
48,Mimulus guttatus,C,0.813,,,,,,,,,,,,,,
48,Mimulus guttatus,D,0.78,,,,,,,,,,,,,,
48,Mimulus guttatus,E,0.543,,,,,,,,,,,,,,
49,Nassella pulchra,A,44.308,,,,,,,,,,,,,,
49,Nassella pulchra,B,23.042,,,,,,,,,,,,,,
49,Nassella pulchra,C,21.191,,,,,,,,,,,,,,
49,Nassella pulchra,D,24.927,,,,,,,,,,,,,,
49,Nassella pulchra,E,21.183,,,,,,,,,,,,,,
50,Navarretia jepsonii,A,6.93,,,,,,,,,,,,,,
50,Navarretia jepsonii,B,7.211,,,,,,,,,,,,,,
50,Navarretia jepsonii,C,8.506,,,,,,,,,,,,,,
50,Navarretia jepsonii,D,7.44,,,,,,,,,,,,,,
50,Navarretia jepsonii,E,5.228,,,,,,,,,,,,,,
51,Petrohagia prolifera,A,2.389,,,,,,,,,,,,,,
51,Petrohagia prolifera,B,2.536,,,,,,,,,,,,,,
51,Petrohagia prolifera,C,2.513,,,,,,,,,,,,,,
51,Petrohagia prolifera,D,2.538,,,,,,,,,,,,,,
51,Petrohagia prolifera,E,2.27,,,,,,,,,,,,,,
52,Phlox gracilis,A,19.99,,,,,,,,,,,,,,
52,Phlox gracilis,B,21.569,,,,,,,,,,,,,,
52,Phlox gracilis,C,21.06,,,,,,,,,,,,,,
52,Phlox gracilis,D,20.952,,,,,,,,,,,,,,
52,Phlox gracilis,E,21.03,,,,,,,,,,,,,,
53,Plantago erecta,A,18.653,,,,,,,,,,,,,,
53,Plantago erecta,B,17.944,,,,,,,,,,,,,,
53,Plantago erecta,C,18.02,,,,,,,,,,,,,,
53,Plantago erecta,D,19.207,,,,,,,,,,,,,,
53,Plantago erecta,E,16.364,,,,,,,,,,,,,,
54,Rigiopappus leptocladus,A,6.859,,,,,,,,,,,,,,
54,Rigiopappus leptocladus,B,8.119,,,,,,,,,,,,,,
54,Rigiopappus leptocladus,C,8.091,,,,,,,,,,,,,,
54,Rigiopappus leptocladus,D,7.564,,,,,,,,,,,,,,
54,Rigiopappus leptocladus,E,6.41,,,,,,,,,,,,,,
55,Sidalcea diploscypha,A,52.433,,,,,,,,,,,,,,
55,Sidalcea diploscypha,B,47.806,,,,,,,,,,,,,,
55,Sidalcea diploscypha,C,44.829,,,,,,,,,,,,,,
55,Sidalcea diploscypha,D,46.515,,,,,,,,,,,,,,
55,Sidalcea diploscypha,E,50.732,,,,,,,,,,,,,,
56,Silene gallica,A,6.307,25 seeds,,,,,,,,,,,,,
56,Silene gallica,B,6.314,,,,,,,,,,,,,,
56,Silene gallica,C,5.931,,,,,,,,,,,,,,
56,Silene gallica,D,6.951,,,,,,,,,,,,,,
56,Silene gallica,E,,missing 9/28,,,,,,,,,,,,,
57,Sisyrinchium bellum,A,33.241,,,,,,,,,,,,,,
57,Sisyrinchium bellum,B,32.113,,,,,,,,,,,,,,
57,Sisyrinchium bellum,C,29.408,,,,,,,,,,,,,,
57,Sisyrinchium bellum,D,32.952,,,,,,,,,,,,,,
57,Sisyrinchium bellum,E,34.325,,,,,,,,,,,,,,
58,Taeniatherum caput-medusae,A,34.103,,,,,,,,,,,,,,
58,Taeniatherum caput-medusae,B,38.387,,,,,,,,,,,,,,
58,Taeniatherum caput-medusae,C,33.439,,,,,,,,,,,,,,
58,Taeniatherum caput-medusae,D,34.259,,,,,,,,,,,,,,
58,Taeniatherum caput-medusae,E,32.124,,,,,,,,,,,,,,
59,Thysanocarpus curvipes,A,6.305,,,,,,,,,,,,,,
59,Thysanocarpus curvipes,B,6.636,,,,,,,,,,,,,,
59,Thysanocarpus curvipes,C,7.833,,,,,,,,,,,,,,
59,Thysanocarpus curvipes,D,8.771,,,,,,,,,,,,,,
59,Thysanocarpus curvipes,E,8.283,,,,,,,,,,,,,,
60,Trifolium albopurpureum,A,18.747,,,,,,,,,,,,,,
60,Trifolium albopurpureum,B,18.505,,,,,,,,,,,,,,
60,Trifolium albopurpureum,C,20.269,,,,,,,,,,,,,,
60,Trifolium albopurpureum,D,19.627,,,,,,,,,,,,,,
60,Trifolium albopurpureum,E,18.008,,,,,,,,,,,,,,
61,Trifolium fucatum,A,60.364,,,,,,,,,,,,,,
61,Trifolium fucatum,B,58.826,,,,,,,,,,,,,,
61,Trifolium fucatum,C,52.24,,,,,,,,,,,,,,
61,Trifolium fucatum,D,62.815,,,,,,,,,,,,,,
61,Trifolium fucatum,E,50.515,,,,,,,,,,,,,,
62,Trifolium hirtum,A,23.882,,,,,,,,,,,,,,
62,Trifolium hirtum,B,27.616,,,,,,,,,,,,,,
62,Trifolium hirtum,C,24.198,,,,,,,,,,,,,,
62,Trifolium hirtum,D,27.834,,,,,,,,,,,,,,
62,Trifolium hirtum,E,27.042,,,,,,,,,,,,,,
63,Trifolium willdenovii,A,21.689,,,,,,,,,,,,,,
63,Trifolium willdenovii,B,23.415,,,,,,,,,,,,,,
63,Trifolium willdenovii,C,23.468,,,,,,,,,,,,,,
63,Trifolium willdenovii,D,21.664,,,,,,,,,,,,,,
63,Trifolium willdenovii,E,22.935,,,,,,,,,,,,,,
64,Trifolium gracilentum,A,12.752,,,,,,,,,,,,,,
64,Trifolium gracilentum,B,12.168,,,,,,,,,,,,,,
64,Trifolium gracilentum,C,12.988,,,,,,,,,,,,,,
64,Trifolium gracilentum,D,13.522,,,,,,,,,,,,,,
64,Trifolium gracilentum,E,11.739,,,,,,,,,,,,,,
65,Uropappus lindeye,A,21.123,,,,,,,,,,,,,,
65,Uropappus lindeye,B,20.649,,,,,,,,,,,,,,
65,Uropappus lindeye,C,20.592,,,,,,,,,,,,,,
65,Uropappus lindeye,D,20.474,,,,,,,,,,,,,,
65,Uropappus lindeye,E,21.457,,,,,,,,,,,,,,
66,Velezia rigida,A,3.059,,,,,,,,,,,,,,
66,Velezia rigida,B,4.056,,,,,,,,,,,,,,
66,Velezia rigida,C,4.364,,,,,,,,,,,,,,
66,Velezia rigida,D,4.018,,,,,,,,,,,,,,
66,Velezia rigida,E,4.292,,,,,,,,,,,,,,
67,Vicia villosa,A,492.922,,,,,,,,,,,,,,
67,Vicia villosa,B,454.098,,,,,,,,,,,,,,
67,Vicia villosa,C,361.245,,,,,,,,,,,,,,
67,Vicia villosa,D,372.816,,,,,,,,,,,,,,
67,Vicia villosa,E,447.202,,,,,,,,,,,,,,
68,Viola douglasii,A,24.008,,,,,,,,,,,,,,
68,Viola douglasii,B,23.316,,,,,,,,,,,,,,
68,Viola douglasii,C,24.264,,,,,,,,,,,,,,
68,Viola douglasii,D,29.546,6 seeds,,,,,,,,,,,,,
68,Viola douglasii,E,,missing 9/28,,,,,,,,,,,,,
69,Vulpia microstachys,A,7.742,,,,,,,,,,,,,,
69,Vulpia microstachys,B,7.59,,,,,,,,,,,,,,
69,Vulpia microstachys,C,5.609,,,,,,,,,,,,,,
69,Vulpia microstachys,D,8.481,,,,,,,,,,,,,,
69,Vulpia microstachys,E,8.992,,,,,,,,,,,,,,
70,Vulpia myuros,A,4.088,,,,,,,,,,,,,,
70,Vulpia myuros,B,3.98,,,,,,,,,,,,,,
70,Vulpia myuros,C,4.131,,,,,,,,,,,,,,
70,Vulpia myuros,D,4.343,,,,,,,,,,,,,,
70,Vulpia myuros,E,4.439,,,,,,,,,,,,,,
71,Zigadenus fremontii,A,3.658,,,,,,,,,,,,,,
71,Zigadenus fremontii,B,3.405,,,,,,,,,,,,,,
71,Zigadenus fremontii,C,3.276,,,,,,,,,,,,,,
71,Zigadenus fremontii,D,3.592,,,,,,,,,,,,,,
71,Zigadenus fremontii,E,3.647,,,,,,,,,,,,,,
