"","Line","habitat","watering","fertilization","WFtreatment","Plot","origin","SCT_CWM","Mass_CWM","SCP_CWM","Carbon_CWM","CN_CWM","Length_CWM","Starch_CWM","Shape_CWM","Disp_CWM","Texture_CWM","Compact_CWM","PC1_CWM","PC2_CWM","PC3_CWM","PC4_CWM","PC5_CWM","PC6_CWM","PC7_CWM","PC8_CWM","PC9_CWM","PC10_CWM","PC11_CWM","WFtreatment_order"
"142","4","Harsh","none","none","C","62","Native",1.26398306432198,0.469533565537759,0.624663418532415,0.398156171786464,17.8083176192939,0.970233584174602,0,-2.61384732011926,1.38095238095238,-0.62126990936055,2.47469586090043,-0.831590708845217,-0.0336679414177189,0.320455787972412,1.23051163453139,0.858820507583859,-0.107878350618719,0.360348376888337,-0.147866750218874,-0.0707053346470608,-0.0375961484734246,-0.0094801772215103,"C"
"143","4","Harsh","none","none","C","62","Non-Native",0.0592208688201823,0.0451904436223465,-0.0532897620142816,0.0291072660253866,1.59870287974631,0.156999974390203,0.0714285714285714,-0.132946705707128,0.0952380952380952,0.0983308877772031,0.182659171384671,-0.259727204271857,-0.0433677553607955,0.105788591330907,-0.000755630703568808,-0.0441471126668479,0.00757566054289526,-0.104608445730222,0.0029399300080894,0.0359938054792704,-0.016356321015323,-0.0125181488980351,"C"
"144","4","Harsh","none","none","C","62",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"145","4","Harsh","none","none","C","64","Native",1.433334258242,-0.166998498819866,0.670815409340394,0.423408159045807,17.1731775770958,1.04742474418276,0.0222222222222222,-2.35620229397844,0.911111111111111,-1.34258177340806,2.54029024113216,-0.321988436721068,-0.286781796283711,-0.0415318559081619,0.817893261899406,0.338626200094036,-0.376484758249978,0.683524768122414,0.0304419282362598,-0.448474371332037,-0.307085375110993,-0.258225971494295,"C"
"146","4","Harsh","none","none","C","64","Non-Native",0.0208462922658819,0.0241936491988792,-0.0327715333945336,0.017921471378384,0.954509933410378,0.108786466967204,0.0444444444444444,-0.0802304785738098,0.0444444444444444,0.0681385521644653,0.11071597738323,-0.166113355791836,-0.0464238206458156,0.0674251716585462,-0.0145031011316311,-0.0352340654509781,-0.00104072925109014,-0.0735752547402742,-0.0154775126959293,0.0430407332934041,-0.0317002529629714,-0.015148803172514,"C"
"147","4","Harsh","none","none","C","64",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"148","4","Harsh","none","none","C","68","Native",1.21053630132861,-0.0434162198205288,-0.0489159239633461,0.377490348031301,15.50195852543,0.970145591251539,0.0277777777777778,-2.19042272762084,1.13888888888889,-1.00744665589685,2.28826260136913,-0.515590414692006,-0.08101002752074,0.234377024180162,0.396332493619566,0.689510608192493,-0.0242674261789157,0.328400961211883,0.193608534295875,-0.294714397774499,-0.166416908109552,-0.184097860107864,"C"
"149","4","Harsh","none","none","C","68","Non-Native",0.185161525830951,0.105041521659187,-0.105310097465563,0.0574274708380412,3.2846324801457,0.256725754172762,0.138888888888889,-0.269409616206179,0.25,0.160771310574079,0.368027065410169,-0.485314355012716,0.000721356975064164,0.198694966871426,0.0599247908342317,-0.0518708227639278,0.0399062730070306,-0.166281007252338,0.0814337914157747,-0.0203321159220477,0.0623591086414926,0.00785798568891842,"C"
"150","4","Harsh","none","none","C","68",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"C"
"151","4","Harsh","watered","fertilized","WN","58","Native",0.85350883240405,-0.636152842393604,0.00797710939356967,0.327925954988987,11.0042994256012,0.780425721341898,0.0128205128205128,-1.57473441727349,0.846153846153846,-1.03217911326206,1.82408397374769,-0.112834149178063,-0.733473772305696,0.0406583537850024,-0.0536241913873367,0.503747527582088,-0.120577434197382,0.302967767725989,0.173907746887117,-0.194647031338272,-0.160527315314414,-0.194250919706286,"WN"
