"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"ZIGFRE","ZIGFRE","1.27624196077786","-1.52336043089118","1.65516051836977","0.981368969579312","-2.22661759251863","-0.0409048363051722","-0.312450975903954","0.631583700346628","0.496093898708032","0.639671089015408","0.216552989183208"
"RIGLEP","RIGLEP","-1.0080504540276","-1.31403487188584","-0.77910374034186","-0.730701257018713","0.447869436194747","0.0122190256333328","0.244981498109555","0.209620776687602","0.0372133209572044","-0.619714799935541","-0.204057099925257"
"SIDDIP","SIDDIP","-0.427975732281628","0.569877749078908","0.568847600464806","1.68522098449527","1.77202532334609","-0.696273216909775","0.542589413244892","-0.858016767902673","1.33068442539572","0.850887544681607","-0.030513454929264"
"ANCFIL","ANCFIL","1.18125045714061","-0.744724399609858","-0.908683199357575","-0.546988428484813","-0.0496214303086834","-0.505801870085633","-0.652563020450408","-0.297295157236459","-0.508151859500422","-0.411370443691102","-0.0477720972381971"
"ATHPUS","ATHPUS","-0.0496439966512191","-0.621377811413694","0.445766733000389","0.274222525274737","0.586174200368033","-0.281776833838343","0.396039810691433","0.566342497919401","-0.656568741080803","-0.613108253107137","-0.558088132560955"
"BROMAD","BROMAD","-2.73072241580168","-0.566707217637048","0.695066191039759","-0.430693145926932","-0.600123444244397","-1.19645436037934","-1.42567253039994","-0.0710283072195807","-0.161011933743148","-0.0150959812543176","-0.456765279653481"
"CASATT","CASATT","2.41375271088522","-1.24616891544662","-0.327830160306654","-0.132971282780896","-0.429218606095384","0.669786177573614","-0.730607011195806","0.429924495262908","1.0246983371576","0.130815875297932","0.00844606107643055"
"CENTRI","CENTRI","4.12047726304585","-0.686075684595518","1.0998408485244","-0.71063814852362","0.0971930458620858","0.612602397129065","-0.329026923851787","0.344322817172738","-0.0722358800697196","0.161000410926119","-0.161580573849551"
"EPIBRA","EPIBRA","0.69479589817417","-1.08535640880339","-0.564405500628672","0.72215073672467","0.669964587807307","-1.06076370639999","-0.34095354770759","0.466396206566727","0.517665167969048","0.239703401091951","0.202565798008234"
"ERILAN","ERILAN","-0.351073200782756","-2.38243378098337","-2.31700573747341","0.90482776081186","-0.519046538268541","0.912359105405693","-0.0736682577871696","-0.334417128185683","-0.539170750724247","1.24062073696046","0.175835591211634"
"EUPCRE","EUPCRE","1.47854158939488","0.759762324872449","-0.309877876766855","0.906765666021402","-0.357287147544724","0.352980028076407","-0.382330810973409","-0.223851142290827","0.343256653239462","0.0773706264323458","-0.401294278160812"
"FILCAL","FILCAL","2.56757521251956","-2.0342007028216","0.926828383549009","-0.770261772227781","0.108447556935561","0.588305348335166","-1.39432878667131","-0.353066390935662","-0.697709577805309","-0.531847959791808","0.19393021656056"
"LEPNIT","LEPNIT","0.456882474785143","-0.698428077942507","-1.10996274114978","2.24712316189719","-0.457750733024596","-1.46173764622008","0.0699519345947875","-1.42829434387992","-0.648998558540485","-0.123649751855052","0.159538162809917"
"MICCAL","MICCAL","-1.16067687715338","0.167370550624856","-0.415549001731572","1.39982660934514","-0.108442354232872","1.53427413884001","-0.35615758907733","-0.118658103550242","-0.872522070128364","0.138023432468031","-0.0208460313755135"
"NAVJEP","NAVJEP","0.049409090230685","-0.350326687294902","-0.440166784521367","0.708647016305691","0.5898497771099","-0.0561151750711543","-0.742061390891926","-0.129692475723173","-0.636430426152551","0.267973851825415","0.126617935333437"
"SILGAL","SILGAL","2.09862639550221","0.776020446237117","1.76090064468213","-1.09875530062284","-1.49393137053325","-0.00881450260971138","0.905557212131621","-0.0822799382050675","0.0919298608351199","0.796759257755998","0.015721454546968"
"TRIHIR","TRIHIR","0.492447896871612","2.4833517435763","-0.160232918453262","-0.997248930678497","1.0670555306615","0.874904736267375","-0.0429489529658808","-0.173267316094856","-0.592310149866285","0.330407000842779","0.0477650333572045"
"VELRIG","VELRIG","1.32318140046614","-0.320487443829284","0.807551771736438","-0.977988483472864","0.209080653406443","-0.26418407496667","0.527294724045442","-0.492990900768129","-1.29102994243592","-1.34446849933766","-0.379750929755416"
