"IDnum","clean_code","H","L","LH_L","W","area_LW","Perimeter1","Hue","PCof19WL","texture","Rectangularity1","LH_Circle","LW_Circle","Compactness Ellipse","BetaShape_a","BetaShape_b","Saturation","LH_area","Org.Filename","Org.Filename2","shape"
6,"AVEFAT",2.03847,8.375454,8.065252,2.61456,16.31706,17.45994,1.336472,36.77366,0.2934726,0.7620139,0.2498373,0.3092754,0.9970311,1.51193,1.423495,22.91413,12.04191,"AVEFAT_LW_Amy1","AVEFAT_LH_Amy1",0.128812591538648
8,"BROHOR",1.240808,11.74336,13.0728,1.949841,8.316613,22.44533,1.228081,32.31633,5.571799,0.413343,0.09044748,0.1254352,0.848067,12.34237,5.238698,17.96198,7.776574,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.55101,12.58534,8.153881,1.373752,8.966625,24.99342,1.217567,31.64291,4.170658,0.5378092,0.1672834,0.1183404,0.9153294,11.4304,4.117583,18.08447,7.890473,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.329437,8.065252,12.62965,1.639639,9.1198,16.55149,1.274361,31.32854,3.925405,0.7127072,0.1087013,0.2004595,0.9932977,1.844512,1.746529,16.80115,7.988662,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",2.1271,9.30606,12.09788,1.595325,9.316178,19.16605,1.21704,28.75153,4.688337,0.6485304,0.1198729,0.1778606,0.9634461,2.35025,2.241333,17.11636,8.909676,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.418066,12.54102,12.45239,2.1271,9.329925,25.37009,1.20897,30.98767,5.426874,0.3883144,0.1109762,0.1305703,0.7917731,45.74976,7.961135,17.0676,9.039285,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.595325,12.18651,13.29437,1.506695,9.532194,24.46164,1.227742,29.65143,4.944773,0.5368282,0.1148126,0.1319531,0.9177541,8.578693,4.138525,18.02448,9.373128,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.683954,13.383,9.261745,1.994156,10.46892,25.87971,1.247538,34.26215,5.073843,0.406967,0.1770705,0.1419736,0.8591929,90.47823,12.60508,17.13514,9.434005,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",2.437301,11.83199,13.11711,1.816897,12.02816,23.90771,1.247396,33.6301,4.861951,0.5756579,0.12379,0.1740275,0.9504781,5.018876,3.50151,18.14107,9.677514,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.506695,11.78768,12.05356,2.61456,13.82895,24.10713,1.261417,33.55229,3.216195,0.4582878,0.1403215,0.260686,0.9262794,39.29588,19.32243,14.34499,9.881747,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
8,"BROHOR",1.949841,12.18651,10.99001,2.171414,14.10191,24.1736,1.246109,30.72384,4.446126,0.5460006,0.1829387,0.2060038,0.9616641,4.334552,3.405914,17.68551,12.73316,"BROHOR_LW_Amy1","BROHOR_LH_Amy1",0.164443905338797
9,"BROMAD",0.5317749,9.084487,8.995858,0.9749206,5.891344,18.16897,1.072796,26.18173,1.022363,0.7002801,0.04045077,0.08965088,0.968606,1.622684,1.310267,18.47,2.99673,"BROMAD_LW_Amy1","BROMAD_LH_Amy",0.192811177830355
