"species_code","seed_mass","species","nseedssp","nfam","spdrymf","sd_spdrymf"
"Vulmic",0.00091,"Vulpia microstachys",99,5,0.000852009022556391,0.000205135072739528
"Zigfre",0.0059,"Zigadenus fremontii",66,5,0.006821,0.00165107608008299
"Zigfre",0.008375,"Zigadenus fremontii",66,5,0.006821,0.00165107608008299
"Zigfre",0.00545,"Zigadenus fremontii",66,5,0.006821,0.00165107608008299
"Zigfre",0.00884666666666667,"Zigadenus fremontii",66,5,0.006821,0.00165107608008299
"Zigfre",0.00553333333333333,"Zigadenus fremontii",66,5,0.006821,0.00165107608008299
"Calcil",0.000248214285714286,"Calandrinia cilata",64,2,0.000286607142857143,5.42956992696813e-05
"Calcil",0.000325,"Calandrinia cilata",64,2,0.000286607142857143,5.42956992696813e-05
"Brohor",0.002154,"Bromus hordeaceus",351,10,0.00184802637589449,0.000258962367812488
"Brohor",0.00156842105263158,"Bromus hordeaceus",351,10,0.00184802637589449,0.000258962367812488
"Brohor",0.00232,"Bromus hordeaceus",351,10,0.00184802637589449,0.000258962367812488
"Brohor",0.00182,"Bromus hordeaceus",351,10,0.00184802637589449,0.000258962367812488
"Brohor",0.00189230769230769,"Bromus hordeaceus",351,10,0.00184802637589449,0.000258962367812488
"Chagla",0.000828571428571429,"Chaenactis glabriuscula",116,5,0.00063265873015873,0.000177799677116314
"Chagla",0.000466666666666667,"Chaenactis glabriuscula",116,5,0.00063265873015873,0.000177799677116314
"Chagla",0.000583333333333333,"Chaenactis glabriuscula",116,5,0.00063265873015873,0.000177799677116314
"Chagla",0.000472222222222222,"Chaenactis glabriuscula",116,5,0.00063265873015873,0.000177799677116314
"Chagla",0.0008125,"Chaenactis glabriuscula",116,5,0.00063265873015873,0.000177799677116314
"Chlpom",0.0107371428571429,"Chlorogalum pomeridianum",159,5,0.0100655184740563,0.0013142258955975
"Chlpom",0.01045,"Chlorogalum pomeridianum",159,5,0.0100655184740563,0.0013142258955975
"Chlpom",0.00838979591836735,"Chlorogalum pomeridianum",159,5,0.0100655184740563,0.0013142258955975
"Chlpom",0.0116617647058824,"Chlorogalum pomeridianum",159,5,0.0100655184740563,0.0013142258955975
"Chlpom",0.00908888888888889,"Chlorogalum pomeridianum",159,5,0.0100655184740563,0.0013142258955975
"Clagra",0.000378301886792453,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000610112359550562,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000454761904761905,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
"Clagra",0.000373170731707317,"Clarkia gracilis",610,13,0.000704224634840137,0.00108610842849918
