"","species","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11"
"SISBEL","SISBEL","0.978486337056059","2.24475736333967","-0.733763235044398","0.845156941062065","-0.383588538790384","0.724239564981926","0.0606038529847086","-0.553831671079467","0.313074379739358","0.201737654967811","-0.115672070650842"
"TAECAP","TAECAP","-3.51596540867122","0.76255198598323","1.39968927480923","0.212214915548451","-1.10343246644351","0.267761196790307","-0.808462420744776","0.740514265576536","-0.338428096125782","-0.56001886784163","-0.129132790453474"
"THYCUR","THYCUR","-0.947570624522379","0.117731360293306","1.71333427424503","2.2287689958796","-0.421922314760851","1.87838736844603","1.10938898939796","1.56051516941762","0.0372673345784658","-1.14637979022983","-0.303085522111844"
"TRIALB","TRIALB","0.572691362569568","0.740471090910755","-0.349422692376308","-1.10957105357076","1.22837289501619","-0.639323229746736","-0.0946356663835656","0.294310015649748","-0.590085446687093","-0.16832880340681","0.34725322503864"
"TRIFUC","TRIFUC","-0.475200014834187","1.71863404665094","0.709152634248605","-0.378292678431003","1.25221247915797","0.756052952912351","-1.21551969266542","-0.262629134937248","0.611056962951345","-0.572119957501565","0.376735855873281"
"TRIGRA","TRIGRA","0.0762286082159364","0.881589245264702","0.570258800269973","-0.653401972990502","1.20709829438601","0.193323801377031","-0.350748668967698","-0.461797473259653","-0.745962388090879","-0.446041742370362","0.188723208794792"
"TRIWIL","TRIWIL","0.598738467110989","0.690012807459317","0.656947300805512","-0.117285006955029","1.47260560417616","-0.981846879475725","-0.0139144282260205","-0.89777119756261","0.182929374637094","-0.29333848965884","0.138495604146779"
"UROLIN","UROLIN","-3.77969030020929","-1.77461350180704","-2.87294655202983","-0.818204111157031","-0.748204051980681","2.40888901270202","0.924492825641828","-1.30700511017175","0.651052441874233","-0.237630604362729","0.197511248269871"
"VICVIL","VICVIL","0.00231746257826354","4.53926854595023","-1.38732571966013","-0.832620961030698","0.179031834597185","0.365545234903692","0.577510918250136","-0.70625318828286","0.276266367076","-0.311949790456305","-0.0644909209643642"
"VIODOU","VIODOU","0.117663993214777","0.888285279944138","-1.75030257849296","0.285401589816233","-0.24082432250373","-0.119926904683954","-1.57251853414783","0.130513826927841","0.353540755892479","-0.200531913538038","0.351740401598426"
"VULMIC","VULMIC","-2.67850455156278","-2.35871762559033","-0.181127461696773","-2.47561507901101","-1.2216307266285","0.0519012004859076","1.46737858662139","-0.88193285340716","1.31385985069604","0.0715084722361633","-0.0216225646492688"
